nursery,geno,max_temp,fvfm,date
nsu,30,33,0.555,2020-06
nsu,30,33,0.583,2020-06
nsu,30,34,0.538,2020-06
nsu,30,34,0.521,2020-06
nsu,30,34,0.543,2020-06
nsu,30,34,0.469,2020-06
nsu,30,31,0.514,2020-06
nsu,30,31,0.549,2020-06
nsu,30,31,0.447,2020-06
nsu,30,35,0.514,2020-06
nsu,30,35,0.489,2020-06
nsu,30,35,0.38,2020-06
nsu,30,35,0.401,2020-06
nsu,30,31,0.535,2020-06
nsu,30,35,0.503,2020-06
nsu,30,36,0.119,2020-06
nsu,30,36,0.098,2020-06
nsu,30,36,0.101,2020-06
nsu,30,32,0.55,2020-06
nsu,30,32,0.502,2020-06
nsu,30,33,0.559,2020-06
nsu,2A,31.5,0.642,2020-06
nsu,2A,33.5,0.611,2020-06
nsu,2A,34.5,0.561,2020-06
nsu,2A,36.5,0.063,2020-06
nsu,2A,36.5,0.143,2020-06
nsu,2A,36.5,0.155,2020-06
nsu,2A,31.5,0.644,2020-06
nsu,2A,32.5,0.65,2020-06
nsu,2A,32.5,0.62,2020-06
nsu,2A,32.5,0.634,2020-06
nsu,2A,32.5,0.598,2020-06
nsu,2A,33.5,0.619,2020-06
nsu,4B,31.5,0.548,2020-06
nsu,4B,33.5,0.375,2020-06
nsu,4B,33.5,0.512,2020-06
nsu,4B,34.5,0.386,2020-06
nsu,4B,34.5,0.36,2020-06
nsu,4B,34.5,0.324,2020-06
nsu,4B,34.5,0.407,2020-06
nsu,4B,35.5,0.229,2020-06
nsu,4B,35.5,0.179,2020-06
nsu,4B,35.5,0.325,2020-06
nsu,4B,36.5,0.102,2020-06
nsu,4B,36.5,0.113,2020-06
nsu,4B,36.5,0.108,2020-06
nsu,4B,36.5,0.079,2020-06
nsu,4B,31.5,0.576,2020-06
nsu,4B,32.5,0.569,2020-06
nsu,4B,32.5,0.568,2020-06
nsu,4B,32.5,0.572,2020-06
nsu,4B,32.5,0.557,2020-06
nsu,4B,33.5,0.494,2020-06
nsu,5a,31.5,0.65,2020-06
nsu,5a,31.5,0.62,2020-06
nsu,5a,33.5,0.571,2020-06
nsu,5a,33.5,0.603,2020-06
nsu,5a,33.5,0.561,2020-06
nsu,5a,34.5,0.613,2020-06
nsu,5a,35.5,0.239,2020-06
nsu,5a,36.5,0.056,2020-06
nsu,5a,36.5,0.191,2020-06
nsu,5a,31.5,0.616,2020-06
nsu,5a,32.5,0.628,2020-06
nsu,5a,33.5,0.607,2020-06
nsu,5a,33.5,0.626,2020-06
nsu,8a,31,0.504,2020-06
nsu,8a,31,0.551,2020-06
nsu,8a,33,0.57,2020-06
nsu,8a,33,0.576,2020-06
nsu,8a,33,0.579,2020-06
nsu,8a,34,0.476,2020-06
nsu,8a,34,0.415,2020-06
nsu,8a,35,0.29,2020-06
nsu,8a,35,0.492,2020-06
nsu,8a,36,0.048,2020-06
nsu,8a,36,0.035,2020-06
nsu,8a,32,0.485,2020-06
nsu,8a,33,0.524,2020-06
nsu,8a,33,0.512,2020-06
nsu,8a,33,0.417,2020-06
nsu,9a,31.5,0.562,2020-06
nsu,9a,34.5,0.454,2020-06
nsu,9a,34.5,0.327,2020-06
nsu,9a,34.5,0.378,2020-06
nsu,9a,34.5,0.493,2020-06
nsu,9a,35.5,0.294,2020-06
nsu,9a,35.5,0.248,2020-06
nsu,9a,35.5,0.309,2020-06
nsu,9a,36.5,0.048,2020-06
nsu,9a,36.5,0.074,2020-06
nsu,9a,36.5,0.105,2020-06
nsu,9a,31.5,0.581,2020-06
nsu,9a,32.5,0.56,2020-06
nsu,9a,32.5,0.575,2020-06
nsu,9a,33.5,0.64,2020-06
crf,1,32,0.636,2020-06
crf,1,33,0.597,2020-06
crf,1,36,0.199,2020-06
crf,1,36,0.283,2020-06
crf,1,37,0.077,2020-06
crf,1,36,0.24,2020-06
crf,1,32,0.608,2020-06
crf,1,34,0.578,2020-06
crf,1,32,0.629,2020-06
crf,1,34,0.558,2020-06
crf,1,37,0.041,2020-06
crf,1,32,0.609,2020-06
crf,1,36,0.266,2020-06
crf,1,35,0.44,2020-06
crf,1,37,0,2020-06
crf,1,34,0.579,2020-06
crf,1,34,0.613,2020-06
crf,2,33,0.602,2020-06
crf,2,33,0.635,2020-06
crf,2,34,0.565,2020-06
crf,2,34,0.591,2020-06
crf,2,34,0.557,2020-06
crf,2,34,0.507,2020-06
crf,2,35,0.423,2020-06
crf,2,35,0.456,2020-06
crf,2,31,0.611,2020-06
crf,2,31,0.62,2020-06
crf,2,36,0.274,2020-06
crf,2,36,0.226,2020-06
crf,2,32,0.607,2020-06
crf,2,32,0.628,2020-06
crf,2,32,0.624,2020-06
crf,62,34,0.631,2020-06
crf,62,31.5,0.69,2020-06
crf,62,33.5,0.598,2020-06
crf,62,33.5,0.609,2020-06
crf,62,34.5,0.482,2020-06
crf,62,34.5,0.557,2020-06
crf,62,34.5,0.526,2020-06
crf,62,34.5,0.509,2020-06
crf,62,35.5,0.336,2020-06
crf,62,35.5,0.311,2020-06
crf,62,36.5,0.128,2020-06
crf,62,36.5,0.085,2020-06
crf,62,32.5,0.645,2020-06
crf,62,32.5,0.665,2020-06
crf,97,31.5,0.685,2020-06
crf,97,34.5,0.458,2020-06
crf,97,34.5,0.451,2020-06
crf,97,34.5,0.357,2020-06
crf,97,34.5,0.356,2020-06
crf,97,31.5,0.646,2020-06
crf,97,35.5,0.254,2020-06
crf,97,35.5,0.177,2020-06
crf,97,35.5,0.301,2020-06
crf,97,36.5,0.1,2020-06
crf,97,36.5,0.116,2020-06
