nursery,geno,max_temp,fvfm,date
um,59y,32,0.65,2020-10
um,59y,32,0.633,2020-10
um,59y,30,0.615,2020-10
um,59y,30,0.608,2020-10
um,14y,35,0.411,2020-10
um,14y,35,0.479,2020-10
um,14y,36,0,2020-10
um,14y,36,0.292,2020-10
um,14y,37,0.247,2020-10
um,14y,38,0,2020-10
um,14y,38,0,2020-10
um,14y,34,0.57,2020-10
um,14y,34,0.63,2020-10
um,14y,33,0.611,2020-10
um,14y,33,0.643,2020-10
um,14y,32,0.628,2020-10
um,14y,32,0.637,2020-10
um,14y,30,0.665,2020-10
um,14y,30,0.652,2020-10
um,85y,35,0.438,2020-10
um,85y,35,0.432,2020-10
um,85y,36,0.174,2020-10
um,85y,36,0.221,2020-10
um,85y,37,0.106,2020-10
um,85y,38,0,2020-10
um,85y,38,0,2020-10
um,85y,34,0.581,2020-10
um,85y,34,0.611,2020-10
um,85y,33,0.613,2020-10
um,85y,33,0.642,2020-10
um,85y,32,0.641,2020-10
um,85y,32,0.695,2020-10
um,85y,30,0.63,2020-10
um,85y,30,0.636,2020-10
um,52y,35,0.388,2020-10
um,52y,35,0.425,2020-10
um,52y,36,0.471,2020-10
um,52y,36,0.347,2020-10
um,52y,37,0.145,2020-10
um,52y,37,0.302,2020-10
um,52y,38,0.273,2020-10
um,52y,34,0.683,2020-10
um,52y,34,0.581,2020-10
um,52y,33,0.545,2020-10
um,52y,33,0.644,2020-10
um,52y,32,0.654,2020-10
um,52y,32,0.66,2020-10
um,52y,30,0.68,2020-10
um,52y,30,0.715,2020-10
um,63y,35,0.5,2020-10
um,63y,35,0.541,2020-10
um,63y,36,0.368,2020-10
um,63y,36,0.329,2020-10
um,63y,37,0.206,2020-10
um,63y,37,0.24,2020-10
um,63y,38,0.293,2020-10
um,63y,34,0.601,2020-10
um,63y,34,0.639,2020-10
um,63y,33,0.629,2020-10
um,63y,33,0.592,2020-10
um,63y,32,0.701,2020-10
um,63y,32,0.65,2020-10
um,63y,30,0.67,2020-10
um,63y,30,0.659,2020-10
um,48y,35,0.466,2020-10
um,48y,35,0.502,2020-10
um,48y,36,0.307,2020-10
um,48y,36,0.202,2020-10
um,48y,37,0.265,2020-10
um,48y,37,0.215,2020-10
um,48y,38,0.268,2020-10
um,48y,34,0.54,2020-10
um,48y,34,0.589,2020-10
um,48y,33,0.627,2020-10
um,48y,33,0.684,2020-10
um,48y,32,0.657,2020-10
um,48y,32,0.712,2020-10
um,48y,30,0.662,2020-10
um,48y,30,0.628,2020-10
um,55y,35,0.426,2020-10
um,55y,35,0.335,2020-10
um,55y,36,0.237,2020-10
um,55y,36,0.354,2020-10
um,55y,37,0.267,2020-10
um,55y,38,0,2020-10
um,55y,38,0,2020-10
um,55y,34,0.521,2020-10
um,55y,34,0.527,2020-10
um,55y,33,0.585,2020-10
um,55y,33,0.583,2020-10
um,55y,32,0.685,2020-10
um,55y,32,0.637,2020-10
um,55y,30,0.67,2020-10
um,55y,30,0.625,2020-10
um,67y,35,0.335,2020-10
um,67y,35,0.403,2020-10
um,67y,36,0.343,2020-10
um,67y,36,0.34,2020-10
um,67y,37,0.225,2020-10
um,67y,38,0.186,2020-10
um,67y,38,0,2020-10
um,67y,34,0.583,2020-10
um,67y,34,0.513,2020-10
um,67y,33,0.598,2020-10
um,67y,33,0.655,2020-10
um,67y,32,0.64,2020-10
um,67y,32,0.653,2020-10
um,67y,30,0.692,2020-10
um,67y,30,0.643,2020-10
um,54y,35,0.369,2020-10
um,54y,35,0.473,2020-10
um,54y,36,0.331,2020-10
um,54y,36,0.261,2020-10
um,54y,37,0.258,2020-10
um,54y,37,0.2,2020-10
um,54y,38,0,2020-10
um,54y,34,0.644,2020-10
um,54y,34,0.507,2020-10
um,54y,33,0.651,2020-10
um,54y,33,0.557,2020-10
um,54y,32,0.625,2020-10
um,54y,32,0.598,2020-10
um,54y,30,0.715,2020-10
um,54y,30,0.629,2020-10
um,32y,35,0.356,2020-10
um,32y,35,0.336,2020-10
um,32y,36,0.26,2020-10
um,32y,36,0.388,2020-10
um,32y,37,0.251,2020-10
um,32y,37,0.395,2020-10
um,32y,34,0.528,2020-10
um,32y,34,0.609,2020-10
um,32y,33,0.637,2020-10
um,32y,33,0.613,2020-10
um,32y,32,0.666,2020-10
um,32y,32,0.681,2020-10
um,32y,30,0.7,2020-10
um,32y,30,0.697,2020-10
um,23y,35,0.487,2020-10
um,23y,35,0.503,2020-10
um,23y,36,0.407,2020-10
um,23y,36,0.268,2020-10
um,23y,37,0,2020-10
um,23y,38,0,2020-10
um,23y,38,0,2020-10
um,23y,34,0.612,2020-10
um,23y,34,0.59,2020-10
