nursery,geno,max_temp,fvfm,date
rrt,FM7,36,0.515,2020-10
rrt,FM7,36,0.376,2020-10
rrt,FM7,35,0.654,2020-10
rrt,FM7,35,0.508,2020-10
rrt,FM7,34,0.673,2020-10
rrt,FM7,34,0.625,2020-10
rrt,FM7,33,0.688,2020-10
rrt,FM7,33,0.722,2020-10
rrt,FM7,32,0.636,2020-10
rrt,FM7,32,0.644,2020-10
rrt,FM7,30,0.671,2020-10
rrt,FM7,30,0.695,2020-10
rrt,ML3,38,0.18,2020-10
rrt,ML3,37,0.213,2020-10
rrt,ML3,37,0.238,2020-10
rrt,ML3,36,0,2020-10
rrt,ML3,36,0,2020-10
rrt,ML3,35,0.518,2020-10
rrt,ML3,34,0.688,2020-10
rrt,ML3,34,0.698,2020-10
rrt,ML3,33,0.65,2020-10
rrt,ML3,33,0.606,2020-10
rrt,ML3,32,0.637,2020-10
rrt,ML3,32,0.579,2020-10
rrt,ML3,30,0.671,2020-10
rrt,ML3,30,0.671,2020-10
rrt,M10,38,0,2020-10
rrt,M10,37,0.187,2020-10
rrt,M10,36,0,2020-10
rrt,M10,36,0,2020-10
rrt,M10,35,0.541,2020-10
rrt,M10,34,0.669,2020-10
rrt,M10,34,0.677,2020-10
rrt,M10,33,0.68,2020-10
rrt,M10,33,0.622,2020-10
rrt,M10,32,0.644,2020-10
rrt,M10,32,0.631,2020-10
rrt,M10,30,0.647,2020-10
rrt,M10,30,0.653,2020-10
rrt,Acer126,38,0.122,2020-10
rrt,Acer126,38,0.152,2020-10
rrt,Acer126,37,0,2020-10
rrt,Acer126,36,0,2020-10
rrt,Acer126,36,0.496,2020-10
rrt,Acer126,35,0.576,2020-10
rrt,Acer126,35,0.485,2020-10
rrt,Acer126,34,0.623,2020-10
rrt,Acer126,34,0.671,2020-10
rrt,Acer126,33,0.628,2020-10
rrt,Acer126,33,0.603,2020-10
rrt,Acer126,32,0.63,2020-10
rrt,Acer126,32,0.645,2020-10
rrt,Acer126,30,0.657,2020-10
rrt,Acer126,30,0.644,2020-10
rrt,ML75,38,0,2020-10
rrt,ML75,37,0.287,2020-10
rrt,ML75,37,0.313,2020-10
rrt,ML75,36,0.394,2020-10
rrt,ML75,36,0.523,2020-10
rrt,ML75,35,0.691,2020-10
rrt,ML75,35,0.584,2020-10
rrt,ML75,34,0.573,2020-10
rrt,ML75,34,0.615,2020-10
rrt,ML75,33,0.658,2020-10
rrt,ML75,32,0.65,2020-10
rrt,ML75,32,0.68,2020-10
rrt,ML75,30,0.715,2020-10
rrt,ML75,30,0.652,2020-10
rrt,M7,38,0.09,2020-10
rrt,M7,38,0,2020-10
rrt,M7,37,0,2020-10
rrt,M7,37,0,2020-10
rrt,M7,36,0.421,2020-10
rrt,M7,36,0.391,2020-10
rrt,M7,35,0.605,2020-10
rrt,M7,35,0.609,2020-10
rrt,M7,34,0.413,2020-10
rrt,M7,34,0.68,2020-10
rrt,M7,33,0.738,2020-10
rrt,M7,32,0.641,2020-10
rrt,M7,32,0.637,2020-10
rrt,M7,30,0.662,2020-10
rrt,M7,30,0.647,2020-10
rrt,FM6(A),35,0.36,2020-10
rrt,FM6(A),35,0.465,2020-10
rrt,FM6(A),36,0.166,2020-10
rrt,FM6(A),36,0,2020-10
rrt,FM6(A),37,0.153,2020-10
rrt,FM6(A),38,0,2020-10
rrt,FM6(A),38,0,2020-10
rrt,FM6(A),34,0.545,2020-10
rrt,FM6(A),34,0.582,2020-10
rrt,FM6(A),33,0.621,2020-10
rrt,FM6(A),33,0.696,2020-10
rrt,FM6(A),32,0.602,2020-10
