nursery,geno,max_temp,fvfm
crf,CRF121,38,0.235
crf,CRF121,38,0.157
crf,CRF121,34,0.553
crf,CRF121,34,0.556
crf,CRF121,33,0.631
crf,CRF121,33,0.604
crf,CRF121,32,0.592
crf,CRF121,32,0.632
crf,CRF121,30,0.666
crf,CRF121,30,0.69
crf,CRF024,35,0.382
crf,CRF024,35,0.351
crf,CRF024,36,0.159
crf,CRF024,36,0.347
crf,CRF024,37,0
crf,CRF024,37,0
crf,CRF024,38,0.233
crf,CRF024,38,0.237
crf,CRF024,34,0.56
crf,CRF024,34,0.572
crf,CRF024,33,0.599
crf,CRF024,33,0.649
crf,CRF024,32,0.639
crf,CRF024,32,0.673
crf,CRF024,30,0.616
crf,CRF024,30,0.711
crf,CRF069,38,0
crf,CRF069,38,0
crf,CRF069,37,0
crf,CRF069,37,0
crf,CRF069,35,0.491
crf,CRF069,35,0.486
crf,CRF069,34,0.607
crf,CRF069,34,0.6
crf,CRF069,33,0.676
crf,CRF069,33,0.644
crf,CRF069,32,0.655
crf,CRF069,32,0.625
crf,CRF069,30,0.643
crf,CRF069,30,0.64
crf,CRF052,38,0
crf,CRF052,38,0
crf,CRF052,37,0
crf,CRF052,36,0.218
crf,CRF052,35,0.3
crf,CRF052,35,0.297
crf,CRF052,34,0.472
crf,CRF052,34,0.468
crf,CRF052,33,0.572
crf,CRF052,33,0.574
crf,CRF052,32,0.623
crf,CRF052,32,0.625
crf,CRF052,30,0.659
crf,CRF052,30,0.638
crf,CRF023,38,0.119
crf,CRF023,38,0.105
crf,CRF023,37,0.182
crf,CRF023,37,0.236
crf,CRF023,36,0.348
crf,CRF023,36,0.407
crf,CRF023,35,0.433
crf,CRF023,34,0.571
crf,CRF023,34,0.578
crf,CRF023,33,0.615
crf,CRF023,33,0.638
crf,CRF023,32,0.67
crf,CRF023,32,0.649
crf,CRF023,30,0.652
crf,CRF023,30,0.637
crf,CRF048,38,0
crf,CRF048,38,0
crf,CRF048,36,0.319
crf,CRF048,36,0.434
crf,CRF048,35,0.443
crf,CRF048,35,0.426
crf,CRF048,34,0.586
crf,CRF048,34,0.552
crf,CRF048,33,0.652
crf,CRF048,33,0.612
crf,CRF048,32,0.637
crf,CRF048,32,0.61
crf,CRF048,30,0.657
crf,CRF048,30,0.639
crf,CRF102,38,0
crf,CRF102,38,0
crf,CRF102,37,0.249
crf,CRF102,36,0.264
crf,CRF102,36,0.299
crf,CRF102,35,0.522
crf,CRF102,35,0.459
crf,CRF102,34,0.511
crf,CRF102,34,0.609
crf,CRF102,33,0.697
crf,CRF102,33,0.61
crf,CRF102,32,0.659
crf,CRF102,32,0.643
crf,CRF102,30,0.703
crf,CRF102,30,0.663
crf,CRF086,38,0.069
crf,CRF086,37,0
crf,CRF086,37,0
crf,CRF086,36,0.324
crf,CRF086,36,0.347
crf,CRF086,35,0.41
crf,CRF086,35,0.421
crf,CRF086,34,0.646
crf,CRF086,34,0.581
crf,CRF086,33,0.649
crf,CRF086,33,0.618
crf,CRF086,32,0.606
crf,CRF086,32,0.649
crf,CRF086,30,0.581
crf,CRF086,30,0.602
crf,CRF059,38,0.159
crf,CRF059,38,0
crf,CRF059,37,0.427
crf,CRF059,37,0.426
crf,CRF059,36,0.498
crf,CRF059,36,0
crf,CRF059,35,0.441
crf,CRF059,35,0.438
crf,CRF059,34,0.592
crf,CRF059,34,0.556
crf,CRF059,33,0.62
crf,CRF059,33,0.605
crf,CRF059,32,0.638
crf,CRF059,32,0.609
crf,CRF059,30,0.735
crf,CRF059,30,0.549
crf,CRF047,38,0.164
crf,CRF047,37,0.362
crf,CRF047,37,0.229
crf,CRF047,36,0.263
crf,CRF047,36,0.377
crf,CRF047,35,0.43
crf,CRF047,35,0.459
crf,CRF047,34,0.549
crf,CRF047,34,0.608
crf,CRF047,33,0.663
crf,CRF047,33,0.67
crf,CRF047,32,0.622
crf,CRF047,32,0.601
crf,CRF047,30,0.609
crf,CRF047,30,0.63
crf,CRF055,38,0
crf,CRF055,38,0
crf,CRF055,37,0.323
crf,CRF055,36,0.312
crf,CRF055,36,0
crf,CRF055,35,0.474
crf,CRF055,35,0.446
crf,CRF055,34,0.515
crf,CRF055,34,0.514
crf,CRF055,33,0.627
crf,CRF055,33,0.614
crf,CRF055,32,0.645
crf,CRF055,32,0.611
crf,CRF055,30,0.654
crf,CRF055,30,0.654
crf,CRF119,38,0
crf,CRF119,38,0
crf,CRF119,37,0.169
crf,CRF119,36,0.256
crf,CRF119,36,0.291
crf,CRF119,35,0.41
crf,CRF119,35,0.408
crf,CRF119,34,0.603
crf,CRF119,34,0.626
crf,CRF119,33,0.654
crf,CRF119,33,0.648
crf,CRF119,32,0.662
crf,CRF119,32,0.649
crf,CRF119,30,0.652
crf,CRF119,30,0.577
crf,CRF031,38,0
crf,CRF031,37,0.243
crf,CRF031,37,0
crf,CRF031,36,0.181
crf,CRF031,36,0.214
crf,CRF031,35,0.356
crf,CRF031,35,0.347
crf,CRF031,34,0.551
crf,CRF031,34,0.545
crf,CRF031,33,0.65
crf,CRF031,33,0.655
crf,CRF031,32,0.644
crf,CRF031,32,0.553
