nursery,geno,max_temp,fvfm,date
nsu,kjs75,36,0,2020-08
nsu,kjs75,37,0,2020-08
nsu,kjs75,37,0.164,2020-08
nsu,kjs93,30,0.728,2020-08
nsu,kjs93,30,0.698,2020-08
nsu,kjs93,31,0.526,2020-08
nsu,kjs93,31,0.699,2020-08
nsu,kjs93,32,0.629,2020-08
nsu,kjs93,32,0.656,2020-08
nsu,kjs93,33,0.635,2020-08
nsu,kjs93,33,0.644,2020-08
nsu,kjs93,34,0.543,2020-08
nsu,kjs93,34,0.5,2020-08
nsu,kjs93,35,0.404,2020-08
nsu,kjs93,36,0.344,2020-08
nsu,kjs93,36,0,2020-08
nsu,kjs93,37,0.141,2020-08
nsu,kjs93,37,0.121,2020-08
nsu,kjs87,30,0.716,2020-08
nsu,kjs87,30,0.685,2020-08
nsu,kjs87,31,0.607,2020-08
nsu,kjs87,31,0.534,2020-08
nsu,kjs87,32,0.71,2020-08
nsu,kjs87,32,0.679,2020-08
nsu,kjs87,33,0.675,2020-08
nsu,kjs87,33,0.669,2020-08
nsu,kjs87,34,0.52,2020-08
nsu,kjs87,34,0.59,2020-08
nsu,kjs87,35,0.565,2020-08
nsu,kjs87,35,0.602,2020-08
nsu,kjs87,36,0,2020-08
nsu,kjs87,37,0.178,2020-08
nsu,kjs87,37,0.144,2020-08
nsu,kjs5,30,0.745,2020-08
nsu,kjs5,31,0.639,2020-08
nsu,kjs5,31,0.642,2020-08
nsu,kjs5,32,0.695,2020-08
nsu,kjs5,33,0.626,2020-08
nsu,kjs5,33,0.624,2020-08
nsu,kjs5,34,0.531,2020-08
nsu,kjs5,34,0.562,2020-08
nsu,kjs5,35,0.627,2020-08
nsu,kjs5,35,0.622,2020-08
nsu,kjs5,36,0.482,2020-08
nsu,kjs5,36,0.422,2020-08
nsu,kjs5,37,0.231,2020-08
nsu,kjs5,37,0.216,2020-08
nsu,kjs16,30,0.695,2020-08
nsu,kjs16,30,0.721,2020-08
