"2020-10-07";"23:22:30";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"21:06:07";"SCHS";"";"Chart start ";""
"5";"2020-10-06";"21:06:08";"C";"";"File Nr. 404 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1329005";"2020-10-06";"21:28:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1331765";"2020-10-06";"21:28:19";"F";"9808";"105";"203";"0";"0.483";"0.0"
"1336005";"2020-10-06";"21:28:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1340685";"2020-10-06";"21:28:28";"F";"9809";"201";"361";"0";"0.443";"0.0"
"1344005";"2020-10-06";"21:28:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1346815";"2020-10-06";"21:28:34";"F";"9810";"144";"144";"0";"0.000";"0.0"
"1351005";"2020-10-06";"21:28:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1355425";"2020-10-06";"21:28:43";"F";"9811";"54";"105";"0";"0.486";"0.0"
"1360005";"2020-10-06";"21:28:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1362435";"2020-10-06";"21:28:50";"F";"9812";"153";"212";"0";"0.278";"0.0"
"1367005";"2020-10-06";"21:28:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1372345";"2020-10-06";"21:29:00";"F";"9813";"303";"333";"0";"0.090";"0.0"
"1377005";"2020-10-06";"21:29:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1388115";"2020-10-06";"21:29:16";"F";"9814";"160";"165";"0";"0.030";"0.0"
"1393005";"2020-10-06";"21:29:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1394135";"2020-10-06";"21:29:22";"F";"9815";"425";"491";"0";"0.134";"0.0"
"1399005";"2020-10-06";"21:29:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1408235";"2020-10-06";"21:29:36";"F";"9816";"37";"74";"0";"0.500";"0.0"
"1413005";"2020-10-06";"21:29:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1413165";"2020-10-06";"21:29:41";"F";"9817";"31";"65";"0";"0.523";"0.0"
"1413170";"2020-10-06";"21:29:41";"SCHE";"";"Chart stop ";""
"1418005";"2020-10-06";"21:29:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1546000";"2020-10-06";"21:31:53";"SCHS";"";"Chart start ";""
"1546005";"2020-10-06";"21:31:54";"C";"";"File Nr. 406 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1776085";"2020-10-06";"21:35:44";"F";"9818";"17";"41";"0";"-";"-"
"1780005";"2020-10-06";"21:35:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1785395";"2020-10-06";"21:35:53";"F";"9819";"13";"54";"0";"0.759";"0.0"
"1789005";"2020-10-06";"21:35:57";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1791455";"2020-10-06";"21:35:59";"F";"9820";"47";"67";"0";"0.299";"0.0"
"1795005";"2020-10-06";"21:36:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1799355";"2020-10-06";"21:36:07";"F";"9821";"509";"670";"0";"0.240";"0.0"
"1804005";"2020-10-06";"21:36:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1810085";"2020-10-06";"21:36:18";"F";"9822";"183";"243";"0";"0.247";"0.0"
"1815005";"2020-10-06";"21:36:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"1817325";"2020-10-06";"21:36:25";"F";"9823";"24";"56";"0";"0.571";"0.0"
"1822005";"2020-10-06";"21:36:30";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1829065";"2020-10-06";"21:36:37";"F";"9824";"32";"60";"0";"0.467";"0.0"
"1834005";"2020-10-06";"21:36:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"1836305";"2020-10-06";"21:36:44";"F";"9825";"21";"45";"0";"-";"-"
"1840005";"2020-10-06";"21:36:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1843975";"2020-10-06";"21:36:51";"F";"9826";"13";"40";"0";"-";"-"
"1848005";"2020-10-06";"21:36:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"1850545";"2020-10-06";"21:36:58";"F";"9827";"80";"176";"0";"0.545";"0.0"
"1854005";"2020-10-06";"21:37:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"1867695";"2020-10-06";"21:37:15";"F";"9828";"134";"448";"0";"0.701";"0.0"
"1871005";"2020-10-06";"21:37:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1875965";"2020-10-06";"21:37:23";"F";"9829";"45";"160";"0";"0.719";"0.0"
"1879005";"2020-10-06";"21:37:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1883035";"2020-10-06";"21:37:31";"F";"9830";"271";"712";"0";"0.619";"0.0"
"1887005";"2020-10-06";"21:37:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1892545";"2020-10-06";"21:37:40";"F";"9831";"55";"108";"0";"0.491";"0.0"
"1896005";"2020-10-06";"21:37:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1897565";"2020-10-06";"21:37:45";"F";"9832";"54";"139";"0";"0.612";"0.0"
"1901005";"2020-10-06";"21:37:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1903585";"2020-10-06";"21:37:51";"F";"9833";"223";"583";"0";"0.617";"0.0"
"1907005";"2020-10-06";"21:37:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1914665";"2020-10-06";"21:38:02";"F";"9834";"138";"178";"0";"0.225";"0.0"
"1918005";"2020-10-06";"21:38:06";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1931265";"2020-10-06";"21:38:19";"F";"9835";"18";"44";"0";"-";"-"
