"2020-10-11";"23:04:22";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-11";"20:27:21";"SCHS";"";"Chart start ";""
"405005";"2020-10-11";"20:34:07";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"406185";"2020-10-11";"20:34:08";"F";"11896";"268";"726";"0";"0.631";"0.0"
"410005";"2020-10-11";"20:34:12";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"411555";"2020-10-11";"20:34:13";"F";"11897";"262";"1070";"0";"0.755";"0.0"
"415005";"2020-10-11";"20:34:17";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"415485";"2020-10-11";"20:34:17";"F";"11898";"227";"534";"0";"0.575";"0.0"
"419005";"2020-10-11";"20:34:21";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"422915";"2020-10-11";"20:34:24";"F";"11899";"279";"672";"0";"0.585";"0.0"
"426005";"2020-10-11";"20:34:28";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"429575";"2020-10-11";"20:34:31";"F";"11900";"287";"751";"0";"0.618";"0.0"
"433005";"2020-10-11";"20:34:35";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"434995";"2020-10-11";"20:34:36";"F";"11901";"261";"737";"0";"0.646";"0.0"
"438005";"2020-10-11";"20:34:40";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"443065";"2020-10-11";"20:34:45";"F";"11902";"215";"545";"0";"0.606";"0.0"
"447005";"2020-10-11";"20:34:49";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"465845";"2020-10-11";"20:35:07";"F";"11903";"202";"553";"0";"0.635";"0.0"
"469005";"2020-10-11";"20:35:11";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"474845";"2020-10-11";"20:35:16";"F";"11904";"299";"893";"0";"0.665";"0.0"
"478005";"2020-10-11";"20:35:20";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"479415";"2020-10-11";"20:35:21";"F";"11905";"248";"799";"0";"0.690";"0.0"
"483005";"2020-10-11";"20:35:25";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"484805";"2020-10-11";"20:35:26";"F";"11906";"298";"774";"0";"0.615";"0.0"
"488005";"2020-10-11";"20:35:30";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"489735";"2020-10-11";"20:35:31";"F";"11907";"371";"921";"0";"0.597";"0.0"
"493005";"2020-10-11";"20:35:35";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"495895";"2020-10-11";"20:35:37";"F";"11908";"240";"786";"0";"0.695";"0.0"
"499005";"2020-10-11";"20:35:41";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"511445";"2020-10-11";"20:35:53";"F";"11909";"183";"546";"0";"0.665";"0.0"
"515005";"2020-10-11";"20:35:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"518025";"2020-10-11";"20:36:00";"F";"11910";"114";"469";"0";"0.757";"0.0"
"522005";"2020-10-11";"20:36:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"525795";"2020-10-11";"20:36:07";"F";"11911";"196";"534";"0";"0.633";"0.0"
"529005";"2020-10-11";"20:36:11";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"531375";"2020-10-11";"20:36:13";"F";"11912";"219";"599";"0";"0.634";"0.0"
"535005";"2020-10-11";"20:36:17";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
