dttm,hm,sp,temp,max_temp,tank_set,tank_id
2020-10-11T13:20:47Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:47Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:47Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:54Z,13:20,30.39,30.44,35,starboard,S4
2020-10-11T13:20:54Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:54Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:54Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:59Z,13:20,30.39,30.44,35,starboard,S4
2020-10-11T13:20:59Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:59Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:59Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:21:05Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:05Z,13:21,30.47,30.56,36,starboard,S3
2020-10-11T13:21:05Z,13:21,30.54,30.62,37,starboard,S2
2020-10-11T13:21:05Z,13:21,30.62,30.69,38,starboard,S1
2020-10-11T13:21:10Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:10Z,13:21,30.47,30.56,36,starboard,S3
2020-10-11T13:21:10Z,13:21,30.54,30.62,37,starboard,S2
2020-10-11T13:21:10Z,13:21,30.62,30.69,38,starboard,S1
2020-10-11T13:21:16Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:16Z,13:21,30.47,30.56,36,starboard,S3
2020-10-11T13:21:16Z,13:21,30.54,30.62,37,starboard,S2
2020-10-11T13:21:16Z,13:21,30.62,30.69,38,starboard,S1
2020-10-11T13:21:21Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:21Z,13:21,30.47,30.56,36,starboard,S3
2020-10-11T13:21:21Z,13:21,30.54,30.56,37,starboard,S2
2020-10-11T13:21:21Z,13:21,30.62,30.62,38,starboard,S1
2020-10-11T13:21:27Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:27Z,13:21,30.47,30.56,36,starboard,S3
2020-10-11T13:21:27Z,13:21,30.54,30.56,37,starboard,S2
2020-10-11T13:21:27Z,13:21,30.62,30.62,38,starboard,S1
2020-10-11T13:21:32Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:32Z,13:21,30.47,30.56,36,starboard,S3
2020-10-11T13:21:32Z,13:21,30.54,30.56,37,starboard,S2
2020-10-11T13:21:32Z,13:21,30.62,30.62,38,starboard,S1
2020-10-11T13:21:38Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:38Z,13:21,30.47,30.5,36,starboard,S3
2020-10-11T13:21:38Z,13:21,30.54,30.56,37,starboard,S2
2020-10-11T13:21:38Z,13:21,30.62,30.62,38,starboard,S1
2020-10-11T13:21:43Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:43Z,13:21,30.47,30.5,36,starboard,S3
2020-10-11T13:21:43Z,13:21,30.54,30.56,37,starboard,S2
2020-10-11T13:21:43Z,13:21,30.62,30.62,38,starboard,S1
2020-10-11T13:21:49Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:49Z,13:21,30.47,30.5,36,starboard,S3
2020-10-11T13:21:49Z,13:21,30.54,30.56,37,starboard,S2
2020-10-11T13:21:49Z,13:21,30.62,30.62,38,starboard,S1
2020-10-11T13:21:55Z,13:21,30.44,30.44,35,starboard,S4
2020-10-11T13:21:55Z,13:21,30.53,30.5,36,starboard,S3
2020-10-11T13:21:55Z,13:21,30.62,30.56,37,starboard,S2
2020-10-11T13:21:55Z,13:21,30.71,30.62,38,starboard,S1
2020-10-11T13:22:00Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:00Z,13:22,30.53,30.5,36,starboard,S3
2020-10-11T13:22:00Z,13:22,30.62,30.56,37,starboard,S2
2020-10-11T13:22:00Z,13:22,30.71,30.62,38,starboard,S1
2020-10-11T13:22:05Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:05Z,13:22,30.53,30.5,36,starboard,S3
2020-10-11T13:22:05Z,13:22,30.62,30.56,37,starboard,S2
2020-10-11T13:22:05Z,13:22,30.71,30.62,38,starboard,S1
2020-10-11T13:22:11Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:11Z,13:22,30.53,30.5,36,starboard,S3
2020-10-11T13:22:11Z,13:22,30.62,30.56,37,starboard,S2
2020-10-11T13:22:11Z,13:22,30.71,30.62,38,starboard,S1
2020-10-11T13:22:16Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:16Z,13:22,30.53,30.5,36,starboard,S3
2020-10-11T13:22:16Z,13:22,30.62,30.56,37,starboard,S2
2020-10-11T13:22:16Z,13:22,30.71,30.62,38,starboard,S1
2020-10-11T13:22:22Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:22Z,13:22,30.53,30.5,36,starboard,S3
2020-10-11T13:22:22Z,13:22,30.62,30.56,37,starboard,S2
