"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"161",1602699901000,2020-10-14,19:25:01,"C",NA,"#1: DIVING-PAM-II | ERROR: Low Battery Shutdown",NA,NA,NA,NA
"162",1602699917000,2020-10-14,19:25:17,"C",NA,"#1: DIVING-PAM-II | ERROR: Low Battery Shutdown",NA,NA,NA,NA
"163",1602699938140,2020-10-14,19:25:38,"F",13185,"12",34,0,"-","-"
"164",1602700025000,2020-10-14,19:27:05,"C",NA,"#1: DIVING-PAM-II | ERROR: Low Battery Shutdown",NA,NA,NA,NA
"165",1602700034000,2020-10-14,19:27:14,"C",NA,"#1: DIVING-PAM-II | ERROR: Low Battery Shutdown",NA,NA,NA,NA
"166",1602700136830,2020-10-14,19:28:56,"F",13186,"7",31,0,"-","-"
"167",1602700145680,2020-10-14,19:29:05,"F",13187,"13",25,0,"-","-"
"168",1602700351000,2020-10-14,19:32:31,"C",NA,"File Nr. 518 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"169",1602700352000,2020-10-14,19:32:32,"C",NA,"File Nr. 519 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"170",1602700354000,2020-10-14,19:32:34,"C",NA,"File Nr. 520 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"171",1602700387690,2020-10-14,19:33:07,"F",13188,"247",313,0,"0.211","0.0"
"172",1602700392540,2020-10-14,19:33:12,"F",13189,"261",330,0,"0.209","0.0"
"173",1602700400380,2020-10-14,19:33:20,"F",13190,"71",99,0,"0.283","0.0"
"174",1602700406420,2020-10-14,19:33:26,"F",13191,"122",166,0,"0.265","0.0"
"175",1602700412870,2020-10-14,19:33:32,"F",13192,"180",211,0,"0.147","0.0"
"176",1602700417300,2020-10-14,19:33:37,"F",13193,"184",301,0,"0.389","0.0"
"177",1602700424300,2020-10-14,19:33:44,"F",13194,"431",526,0,"0.181","0.0"
"178",1602700429580,2020-10-14,19:33:49,"F",13195,"143",157,0,"0.089","0.0"
"179",1602700442830,2020-10-14,19:34:02,"F",13196,"260",354,0,"0.266","0.0"
"180",1602700453670,2020-10-14,19:34:13,"F",13197,"82",111,0,"0.261","0.0"
"181",1602700464530,2020-10-14,19:34:24,"F",13198,"376",522,0,"0.280","0.0"
"182",1602700469910,2020-10-14,19:34:29,"F",13199,"429",512,0,"0.162","0.0"
"183",1602700480160,2020-10-14,19:34:40,"F",13200,"122",162,0,"0.247","0.0"
"184",1602700484990,2020-10-14,19:34:44,"F",13201,"236",405,0,"0.417","0.0"
"185",1602700492350,2020-10-14,19:34:52,"F",13202,"187",240,0,"0.221","0.0"
