time,t35,t36,t37,t38
15:15,33.61,34.33,35.06,35.78
15:17,33.67,34.4,35.13,35.87
15:19,33.72,34.47,35.21,35.96
15:21,33.78,34.53,35.29,36.04
15:23,33.83,34.6,35.37,36.13
15:25,33.89,34.67,35.44,36.22
15:27,33.94,34.73,35.52,36.31
15:29,34,34.8,35.6,36.4
15:31,34.06,34.87,35.68,36.49
15:33,34.11,34.93,35.76,36.58
15:35,34.17,35,35.83,36.67
15:37,34.22,35.07,35.91,36.76
15:39,34.28,35.13,35.99,36.84
15:41,34.33,35.2,36.07,36.93
15:43,34.39,35.27,36.14,37.02
15:45,34.44,35.33,36.22,37.11
15:47,34.5,35.4,36.3,37.2
15:49,34.56,35.47,36.38,37.29
15:51,34.61,35.53,36.46,37.38
15:53,34.67,35.6,36.53,37.47
15:55,34.72,35.67,36.61,37.56
15:57,34.78,35.73,36.69,37.64
15:59,34.83,35.8,36.77,37.73
16:01,34.89,35.87,36.84,37.82
16:03,34.94,35.93,36.92,37.91
16:05,35,36,37,38
16:15,35,36,37,38
16:25,35,36,37,38
16:35,35,36,37,38
16:45,35,36,37,38
16:55,35,36,37,38
17:05,35,36,37,38
17:15,35,36,37,38
17:25,35,36,37,38
17:35,35,36,37,38
17:45,35,36,37,38
17:55,35,36,37,38
18:05,35,36,37,38
18:15,35,36,37,38
18:25,35,36,37,38
18:35,35,36,37,38
18:45,35,36,37,38
18:55,35,36,37,38
19:05,35,36,37,38
19:07,34.83,35.8,36.77,37.73
19:09,34.67,35.6,36.53,37.47
19:11,34.5,35.4,36.3,37.2
19:13,34.33,35.2,36.07,36.93
19:15,34.17,35,35.83,36.67
19:17,34,34.8,35.6,36.4
19:19,33.83,34.6,35.37,36.13
19:21,33.67,34.4,35.13,35.87
19:23,33.5,34.2,34.9,35.6
19:25,33.33,34,34.67,35.33
19:27,33.17,33.8,34.43,35.07
19:29,33,33.6,34.2,34.8
19:31,32.83,33.4,33.97,34.53
19:33,32.67,33.2,33.73,34.27
19:35,32.5,33,33.5,34
19:37,32.33,32.8,33.27,33.73
19:39,32.17,32.6,33.03,33.47
19:41,32,32.4,32.8,33.2
19:43,31.83,32.2,32.57,32.93
19:45,31.67,32,32.33,32.67
19:47,31.5,31.8,32.1,32.4
19:49,31.33,31.6,31.87,32.13
19:51,31.17,31.4,31.63,31.87
19:53,31,31.2,31.4,31.6
19:55,30.83,31,31.17,31.33
19:57,30.67,30.8,30.93,31.07
19:59,30.5,30.6,30.7,30.8
20:01,30.33,30.4,30.47,30.53
20:03,30.17,30.2,30.23,30.27
20:05,30,30,30,30
20:15,30,30,30,30
20:25,30,30,30,30
20:35,30,30,30,30
20:45,30,30,30,30
20:55,30,30,30,30
21:05,30,30,30,30
21:15,30,30,30,30
21:25,30,30,30,30
21:35,30,30,30,30
21:45,30,30,30,30
21:55,30,30,30,30
22:05,30,30,30,30
22:15,30,30,30,30
22:25,30,30,30,30
22:35,30,30,30,30
22:45,30,30,30,30
22:55,30,30,30,30
23:05,30,30,30,30
23:15,30,30,30,30
23:25,30,30,30,30
23:35,30,30,30,30
23:45,30,30,30,30
23:55,30,30,30,30
