"2020-10-10";"22:27:36";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"20:09:24";"SCHS";"";"Chart start ";""
"881005";"2020-10-10";"20:24:06";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"884075";"2020-10-10";"20:24:09";"F";"11288";"151";"345";"0";"0.562";"0.0"
"884080";"2020-10-10";"20:24:09";"SCHE";"";"Chart stop ";""
"888005";"2020-10-10";"20:24:13";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"927000";"2020-10-10";"20:24:51";"SCHS";"";"Chart start ";""
"927005";"2020-10-10";"20:24:52";"C";"";"File Nr. 452 | File Dev. ID #1, DIVING-PAM-II:  ";""
"974245";"2020-10-10";"20:25:39";"F";"11289";"156";"375";"0";"0.584";"0.0"
"978005";"2020-10-10";"20:25:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"981215";"2020-10-10";"20:25:46";"F";"11290";"148";"378";"0";"0.608";"0.0"
"985005";"2020-10-10";"20:25:50";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"986355";"2020-10-10";"20:25:51";"F";"11291";"160";"418";"0";"0.617";"0.0"
"990005";"2020-10-10";"20:25:55";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"992495";"2020-10-10";"20:25:57";"F";"11292";"145";"379";"0";"0.617";"0.0"
"996005";"2020-10-10";"20:26:01";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1025025";"2020-10-10";"20:26:30";"F";"11293";"204";"528";"0";"0.614";"0.0"
"1029005";"2020-10-10";"20:26:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1034905";"2020-10-10";"20:26:39";"F";"11294";"155";"409";"0";"0.621";"0.0"
"1038005";"2020-10-10";"20:26:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1043565";"2020-10-10";"20:26:48";"F";"11295";"124";"582";"0";"0.787";"0.0"
"1047005";"2020-10-10";"20:26:52";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1048245";"2020-10-10";"20:26:53";"F";"11296";"191";"538";"0";"0.645";"0.0"
"1052005";"2020-10-10";"20:26:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1056395";"2020-10-10";"20:27:01";"F";"11297";"172";"442";"0";"0.611";"0.0"
"1060005";"2020-10-10";"20:27:05";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1063195";"2020-10-10";"20:27:08";"F";"11298";"204";"555";"0";"0.632";"0.0"
"1067005";"2020-10-10";"20:27:12";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1084525";"2020-10-10";"20:27:29";"F";"11299";"186";"592";"0";"0.686";"0.0"
"1088005";"2020-10-10";"20:27:33";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1092755";"2020-10-10";"20:27:37";"F";"11300";"132";"256";"0";"0.484";"0.0"
"1096005";"2020-10-10";"20:27:41";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1114525";"2020-10-10";"20:27:59";"F";"11301";"144";"415";"0";"0.653";"0.0"
"1118005";"2020-10-10";"20:28:03";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1122345";"2020-10-10";"20:28:07";"F";"11302";"166";"438";"0";"0.621";"0.0"
"1126005";"2020-10-10";"20:28:11";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1140525";"2020-10-10";"20:28:25";"F";"11303";"147";"423";"0";"0.652";"0.0"
"1144005";"2020-10-10";"20:28:29";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1146045";"2020-10-10";"20:28:31";"F";"11304";"176";"517";"0";"0.660";"0.0"
"1150005";"2020-10-10";"20:28:35";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1151715";"2020-10-10";"20:28:36";"F";"11305";"167";"438";"0";"0.619";"0.0"
"1154005";"2020-10-10";"20:28:39";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1186495";"2020-10-10";"20:29:11";"F";"11306";"139";"374";"0";"0.628";"0.0"
"1190005";"2020-10-10";"20:29:15";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1194935";"2020-10-10";"20:29:19";"F";"11307";"163";"412";"0";"0.604";"0.0"
"1198005";"2020-10-10";"20:29:23";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1203095";"2020-10-10";"20:29:28";"F";"11308";"157";"407";"0";"0.614";"0.0"
