"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"153",551405,2020-10-13,19:19:33,"F",12318,"189",265,0,"0.287","0.0"
"154",560085,2020-10-13,19:19:42,"F",12319,"125",267,0,"0.532","0.0"
"155",568475,2020-10-13,19:19:50,"F",12320,"277",363,0,"0.237","0.0"
"156",583555,2020-10-13,19:20:05,"F",12321,"123",200,0,"0.385","0.0"
"157",587905,2020-10-13,19:20:09,"F",12322,"242",369,0,"0.344","0.0"
"158",597005,2020-10-13,19:20:19,"F",12323,"164",360,0,"0.544","0.0"
"159",603965,2020-10-13,19:20:25,"F",12324,"259",390,0,"0.336","0.0"
"160",610405,2020-10-13,19:20:32,"F",12325,"166",229,0,"0.275","0.0"
"161",627005,2020-10-13,19:20:49,"C",NA,"File Nr. 495 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"162",684315,2020-10-13,19:21:46,"F",12326,"14",35,0,"-","-"
"163",694765,2020-10-13,19:21:56,"F",12327,"16",23,0,"-","-"
"164",724905,2020-10-13,19:22:26,"F",12328,"8",27,0,"-","-"
"165",733335,2020-10-13,19:22:35,"F",12329,"11",29,0,"-","-"
"166",742675,2020-10-13,19:22:44,"F",12330,"7",36,0,"-","-"
"167",749485,2020-10-13,19:22:51,"F",12331,"7",31,0,"-","-"
"168",756925,2020-10-13,19:22:58,"F",12332,"0",35,0,"-","-"
"169",764335,2020-10-13,19:23:06,"F",12333,"15",37,0,"-","-"
"170",773745,2020-10-13,19:23:15,"F",12334,"22",29,0,"-","-"
"171",785605,2020-10-13,19:23:27,"F",12335,"9",26,0,"-","-"
"172",794655,2020-10-13,19:23:36,"F",12336,"2",37,0,"-","-"
"173",802175,2020-10-13,19:23:44,"F",12337,"4",39,0,"-","-"
"174",809065,2020-10-13,19:23:51,"F",12338,"12",40,0,"-","-"
"175",822125,2020-10-13,19:24:04,"F",12339,"13",41,0,"-","-"
"176",829795,2020-10-13,19:24:11,"F",12340,"14",26,0,"-","-"
