"2020-10-14";"00:02:17";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-13";"20:13:19";"SCHS";"";"Chart start ";""
"5";"2020-10-13";"20:13:20";"C";"";"File Nr. 503 | File Dev. ID #1, DIVING-PAM-II:  ";""
"735005";"2020-10-13";"20:25:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"738775";"2020-10-13";"20:25:38";"F";"12699";"329";"618";"0";"0.468";"0.0"
"743005";"2020-10-13";"20:25:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"745255";"2020-10-13";"20:25:45";"F";"12700";"216";"504";"0";"0.571";"0.0"
"750005";"2020-10-13";"20:25:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"750095";"2020-10-13";"20:25:50";"F";"12701";"272";"644";"0";"0.578";"0.0"
"755005";"2020-10-13";"20:25:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"755945";"2020-10-13";"20:25:55";"F";"12702";"292";"706";"0";"0.586";"0.0"
"759785";"2020-10-13";"20:25:59";"F";"12703";"247";"551";"0";"0.552";"0.0"
"760005";"2020-10-13";"20:26:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"764005";"2020-10-13";"20:26:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"764645";"2020-10-13";"20:26:04";"F";"12704";"352";"720";"0";"0.511";"0.0"
"767765";"2020-10-13";"20:26:07";"F";"12705";"209";"534";"0";"0.609";"0.0"
"768005";"2020-10-13";"20:26:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"772005";"2020-10-13";"20:26:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"773925";"2020-10-13";"20:26:13";"F";"12706";"116";"481";"0";"0.759";"0.0"
"778005";"2020-10-13";"20:26:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"780305";"2020-10-13";"20:26:20";"F";"12707";"163";"460";"0";"0.646";"0.0"
"785005";"2020-10-13";"20:26:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
