geno,f,fm,fvfm,tank_id,tank_set,max_temp
CRF028,223,549,0.594,S3,starboard,36
CRF028,286,525,0.455,S3,starboard,36
CRF042,420,637,0.341,S3,starboard,36
CRF042,310,546,0.432,S3,starboard,36
CRF010,168,301,0.442,S3,starboard,36
CRF010,193,314,0.385,S3,starboard,36
CRF074,270,352,0.233,S3,starboard,36
CRF074,315,525,0.4,S3,starboard,36
CRF013,247,334,0.26,S3,starboard,36
CRF013,210,319,0.342,S3,starboard,36
CRF069,225,442,0.491,S4,starboard,35
CRF069,281,547,0.486,S4,starboard,35
CRF052,338,483,0.3,S4,starboard,35
CRF052,275,391,0.297,S4,starboard,35
CRF023,203,464,0.563,S4,starboard,35
CRF023,211,372,0.433,S4,starboard,35
CRF048,333,598,0.443,S4,starboard,35
CRF048,349,608,0.426,S4,starboard,35
CRF102,219,458,0.522,S4,starboard,35
CRF102,276,510,0.459,S4,starboard,35
CRF086,327,554,0.41,S4,starboard,35
CRF086,264,456,0.421,S4,starboard,35
CRF059,195,349,0.441,S4,starboard,35
CRF059,189,336,0.438,S4,starboard,35
CRF047,374,656,0.43,S4,starboard,35
CRF047,282,521,0.459,S4,starboard,35
CRF055,170,323,0.474,S4,starboard,35
CRF055,260,469,0.446,S4,starboard,35
CRF119,141,239,0.41,S4,starboard,35
CRF119,237,400,0.408,S4,starboard,35
CRF031,322,500,0.356,S4,starboard,35
CRF031,284,435,0.347,S4,starboard,35
CRF068,252,479,0.474,S4,starboard,35
CRF068,209,492,0.575,S4,starboard,35
CRF066,258,416,0.38,S4,starboard,35
CRF066,238,522,0.544,S4,starboard,35
CRF082,159,314,0.494,S4,starboard,35
CRF082,263,654,0.598,S4,starboard,35
CRF020,189,306,0.382,S4,starboard,35
CRF020,143,259,0.448,S4,starboard,35
CRF099,318,590,0.461,S4,starboard,35
CRF099,348,584,0.404,S4,starboard,35
CRF007,277,553,0.499,S4,starboard,35
CRF007,304,549,0.446,S4,starboard,35
CRF028,302,652,0.537,S4,starboard,35
CRF028,252,600,0.58,S4,starboard,35
CRF042,356,648,0.451,S4,starboard,35
CRF042,243,555,0.562,S4,starboard,35
CRF010,338,556,0.392,S4,starboard,35
CRF010,289,528,0.453,S4,starboard,35
CRF074,298,622,0.521,S4,starboard,35
CRF074,267,548,0.513,S4,starboard,35
CRF013,200,478,0.582,S4,starboard,35
CRF013,257,541,0.525,S4,starboard,35
CRF069,343,873,0.607,S5,starboard,34
CRF069,293,732,0.6,S5,starboard,34
CRF052,378,716,0.472,S5,starboard,34
CRF052,329,618,0.468,S5,starboard,34
CRF023,216,504,0.571,S5,starboard,34
CRF023,272,644,0.578,S5,starboard,34
CRF048,292,706,0.586,S5,starboard,34
CRF048,247,551,0.552,S5,starboard,34
CRF102,352,720,0.511,S5,starboard,34
CRF102,209,534,0.609,S5,starboard,34
CRF086,163,460,0.646,S5,starboard,34
CRF086,257,614,0.581,S5,starboard,34
CRF059,216,530,0.592,S5,starboard,34
CRF059,184,414,0.556,S5,starboard,34
CRF047,274,607,0.549,S5,starboard,34
CRF047,202,515,0.608,S5,starboard,34
CRF055,237,489,0.515,S5,starboard,34
CRF055,222,457,0.514,S5,starboard,34
CRF119,207,522,0.603,S5,starboard,34
CRF119,245,655,0.626,S5,starboard,34
CRF031,264,588,0.551,S5,starboard,34
CRF031,235,516,0.545,S5,starboard,34
CRF068,270,616,0.562,S5,starboard,34
CRF068,194,508,0.618,S5,starboard,34
CRF066,189,544,0.653,S5,starboard,34
CRF066,239,616,0.612,S5,starboard,34
CRF082,272,642,0.576,S5,starboard,34
CRF082,246,596,0.587,S5,starboard,34
CRF020,199,473,0.579,S5,starboard,34
CRF020,184,431,0.573,S5,starboard,34
CRF099,231,572,0.596,S5,starboard,34
CRF099,255,560,0.545,S5,starboard,34
CRF007,286,576,0.503,S5,starboard,34
CRF007,313,583,0.463,S5,starboard,34
CRF028,215,682,0.685,S5,starboard,34
CRF028,178,540,0.67,S5,starboard,34
CRF042,200,548,0.635,S5,starboard,34
CRF042,245,684,0.642,S5,starboard,34
CRF010,282,627,0.55,S5,starboard,34
CRF010,284,634,0.552,S5,starboard,34
CRF074,284,681,0.583,S5,starboard,34
CRF074,231,535,0.568,S5,starboard,34
CRF013,183,521,0.649,S5,starboard,34
CRF013,171,422,0.595,S5,starboard,34
CRF069,227,700,0.676,S6,starboard,33
CRF069,222,624,0.644,S6,starboard,33
CRF052,186,435,0.572,S6,starboard,33
CRF052,220,516,0.574,S6,starboard,33
CRF023,160,416,0.615,S6,starboard,33
CRF023,221,610,0.638,S6,starboard,33
CRF048,208,598,0.652,S6,starboard,33
CRF048,278,716,0.612,S6,starboard,33
CRF102,283,933,0.697,S6,starboard,33
CRF102,325,834,0.61,S6,starboard,33
CRF086,270,769,0.649,S6,starboard,33
CRF086,279,730,0.618,S6,starboard,33
CRF059,226,594,0.62,S6,starboard,33
CRF059,223,564,0.605,S6,starboard,33
CRF047,207,614,0.663,S6,starboard,33
