geno,rec,f,fm,fvfm,tank_id,tank_set,max_temp
176B,9481,230,971,0.763,S6,starboard,33
171,9482,189,703,0.731,S6,starboard,33
171,9483,371,980,0.621,S6,starboard,33
173,9484,392,954,0.589,S6,starboard,33
173,9485,343,845,0.594,S6,starboard,33
CN2,9486,226,731,0.691,S6,starboard,33
CN2,9487,142,547,0.74,S6,starboard,33
175,9488,217,655,0.669,S6,starboard,33
175,9489,177,752,0.765,S6,starboard,33
156,9490,302,904,0.666,S6,starboard,33
156,9491,273,997,0.726,S6,starboard,33
170B,9492,232,730,0.682,S6,starboard,33
170B,9493,298,811,0.633,S6,starboard,33
165,9494,223,561,0.602,S6,starboard,33
165,9495,355,851,0.583,S6,starboard,33
161,9496,212,641,0.669,S6,starboard,33
161,9497,274,657,0.583,S6,starboard,33
154,9498,133,598,0.778,S6,starboard,33
154,9499,203,543,0.626,S6,starboard,33
163,9520,280,688,0.593,P6,port,33
163,9521,40,80,0.5,P6,port,33
168,9522,427,975,0.562,P6,port,33
168,9523,271,456,0.406,P6,port,33
PK10,9524,374,1041,0.641,P6,port,33
PK10,9525,344,1124,0.694,P6,port,33
178,9526,152,618,0.754,P6,port,33
178,9527,257,896,0.713,P6,port,33
26,9528,174,577,0.698,P6,port,33
26,9529,253,713,0.645,P6,port,33
159,9530,245,789,0.689,P6,port,33
159,9531,258,649,0.602,P6,port,33
170A,9532,131,320,0.591,P6,port,33
170A,9533,316,760,0.584,P6,port,33
172,9534,359,1027,0.65,P6,port,33
172,9535,313,774,0.596,P6,port,33
155,9536,80,631,0.873,P6,port,33
155,9537,301,941,0.68,P6,port,33
10,9538,212,418,0.493,P6,port,33
10,9539,311,780,0.601,P6,port,33
183,9540,309,1239,0.751,P6,port,33
183,9541,264,746,0.646,P6,port,33
160,9542,220,532,0.586,P6,port,33
160,9543,299,666,0.551,P6,port,33
CN4,9544,128,328,0.61,P6,port,33
CN4,9545,198,1069,0.815,P6,port,33
176A,9546,228,626,0.636,P6,port,33
176A,9547,247,582,0.576,P6,port,33
179,9548,209,688,0.696,P6,port,33
179,9549,336,918,0.634,P6,port,33
M3,9550,270,403,0.33,P6,port,33
M3,9551,415,998,0.584,P6,port,33
157,9552,264,783,0.663,P6,port,33
157,9553,276,791,0.651,P6,port,33
153,9554,299,726,0.588,P6,port,33
153,9555,218,726,0.7,P6,port,33
164,9556,321,983,0.673,P6,port,33
164,9557,200,540,0.63,P6,port,33
HS1,9558,421,1093,0.615,P6,port,33
HS1,9559,364,1158,0.686,P6,port,33
M2,9561,384,892,0.57,P6,port,33
M2,9564,274,595,0.539,P6,port,33
25,9586,159,371,0.571,S8,starboard,30
25,9587,98,335,0.707,S8,starboard,30
162,9588,339,953,0.644,S8,starboard,30
162,9589,409,1045,0.609,S8,starboard,30
21,9590,198,719,0.725,S8,starboard,30
21,9591,289,656,0.559,S8,starboard,30
150,9592,117,667,0.825,S8,starboard,30
150,9593,269,966,0.722,S8,starboard,30
28,9594,295,819,0.64,S8,starboard,30
28,9595,333,1063,0.687,S8,starboard,30
11,9596,450,1126,0.6,S8,starboard,30
11,9597,339,699,0.515,S8,starboard,30
CN3,9598,417,1023,0.592,S8,starboard,30
CN3,9599,220,570,0.614,S8,starboard,30
182,9601,264,585,0.549,S8,starboard,30
182,9602,346,851,0.593,S8,starboard,30
174,9603,157,761,0.794,S8,starboard,30
174,9604,121,352,0.656,S8,starboard,30
166,9605,309,800,0.614,S8,starboard,30
166,9606,382,961,0.602,S8,starboard,30
167,9607,415,1125,0.631,S8,starboard,30
167,9608,464,1143,0.594,S8,starboard,30
176B,9609,187,557,0.664,S8,starboard,30
176B,9610,57,192,0.703,S8,starboard,30
171,9611,278,746,0.627,S8,starboard,30
171,9612,356,1147,0.69,S8,starboard,30
173,9613,206,836,0.754,S8,starboard,30
173,9614,413,898,0.54,S8,starboard,30
